Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-00086,M,W,28,1/13/2025  7:24:00 AM,,1/13/2025  2:44:00 PM,1.0,79,BOND,WPN5203M1,WEAPONS UNDER THE INFLUENCE WHILE CARRYING HANDGUN IN PUBLIC,,
2025-00087,M,W,33,1/13/2025  12:56:00 PM,,1/31/2025  8:00:00 AM,17.79,79,SENTENCE SERVED,LAR2404F9,LARCENY AUTO THEFT - GRAND LARCENY,,
2025-00088,M,W,40,1/13/2025  1:23:00 PM,,8/13/2025  8:00:00 AM,211.78,79,SENTENCE SERVED,CBC4848F9,CBC - COMMUNITY-BASED PROBATION - FELONY,,
2025-00089,M,W,62,1/13/2025  3:36:00 PM,,1/13/2025  7:13:00 PM,1.0,113,BOND,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00090,M,W,41,1/13/2025  2:52:00 PM,,1/29/2025  8:07:00 AM,15.72,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00091,F,B,30,1/13/2025  2:37:00 PM,,1/23/2025  8:01:00 AM,9.73,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00092,F,B,36,1/13/2025  2:52:00 PM,,1/29/2025  5:06:00 PM,16.09,47,SENTENCE SERVED,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00093,F,W,40,1/13/2025  2:44:00 PM,,2/3/2025  4:59:00 PM,21.09,139,JUDGE,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00094,F,W,42,1/13/2025  5:53:00 PM,,3/8/2025  4:58:00 PM,53.96,79,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00095,M,W,55,1/14/2025  12:25:00 AM,,2/27/2025  6:27:00 PM,44.75,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00096,M,W,59,1/14/2025  4:50:00 AM,,,351.8,113,,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00097,M,W,26,1/14/2025  6:12:00 AM,,12/18/2025  6:20:00 AM,338.01,109,DOC,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00098,F,B,27,1/14/2025  2:39:00 PM,,1/16/2025  4:54:00 PM,2.09,47,JUDGE,NAR3073F9,NARCOTICS VIOLATION OF ?18.2-251; ORIGINAL OFFENSE - FELONY,,
2025-00099,M,B,46,1/15/2025  10:48:00 AM,,1/23/2025  2:04:00 PM,8.14,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-00100,M,W,32,1/15/2025  12:05:00 PM,,1/22/2025  12:21:00 PM,7.01,109,BOND,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00101,M,W,31,1/15/2025  1:55:00 PM,,1/16/2025  1:01:00 PM,1.0,65,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00102,M,W,27,1/15/2025  3:30:00 PM,,12/19/2025  6:20:00 AM,337.62,137,DOC,OBS3701F5,"OBS-PORPOSE SEX ACT BY COMMUNICATION SYSTEM, AGE < 15",,
2025-00103,M,B,36,1/15/2025  4:42:00 PM,,1/21/2025  10:10:00 AM,5.73,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00104,M,W,40,1/16/2025  2:27:00 AM,,1/16/2025  7:31:00 AM,1.0,79,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00105,M,B,51,1/16/2025  7:46:00 AM,,3/16/2025  8:00:00 AM,59.01,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00106,F,B,29,1/16/2025  10:53:00 AM,,1/24/2025  5:29:00 PM,8.28,47,BOND,NAR3073F9,NARCOTICS VIOLATION OF ?18.2-251; ORIGINAL OFFENSE - FELONY,,
2025-00107,F,W,38,1/16/2025  10:53:00 AM,,2/25/2025  10:22:00 PM,40.48,47,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00108,M,A,43,1/16/2025  1:13:00 PM,,9/12/2025  8:54:00 AM,238.82,79,JUDGE,LAR2359F9,LARCENY $1000 OR MORE NOT FROM PERSON,,
2025-00109,M,W,42,1/16/2025  1:15:00 PM,,,349.45,47,,SEX3635F6,SEX OFFENSES TAKE INDECENT LIBERTIES WITH CHILD-CUSTODIAN,,
2025-00110,M,W,47,1/16/2025  1:15:00 PM,,3/13/2025  6:50:00 AM,55.73,47,JUDGE,BUR2206F5,BURGLARY POSSESSION OF BURGLARIOUS TOOLS,,
2025-00111,M,W,33,1/16/2025  1:15:00 PM,,7/7/2025  8:00:00 AM,171.78,47,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00112,M,B,35,1/16/2025  1:15:00 PM,,8/22/2025  6:24:00 AM,217.71,47,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00113,M,W,41,1/16/2025  1:15:00 PM,,2/4/2025  10:42:00 AM,18.89,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00114,M,W,35,1/16/2025  1:15:00 PM,,1/27/2025  10:30:00 AM,10.89,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00115,M,B,22,1/16/2025  1:15:00 PM,,1/20/2025  12:45:00 PM,3.98,47,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00116,M,W,21,1/16/2025  1:15:00 PM,,2/28/2025  4:46:00 PM,43.15,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00117,M,W,42,1/16/2025  1:15:00 PM,,3/25/2025  4:28:00 PM,68.13,47,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00118,F,B,53,1/16/2025  9:36:00 PM,,2/17/2025  11:17:00 AM,31.57,47,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00119,F,W,37,1/16/2025  10:00:00 PM,,4/9/2025  8:00:00 AM,82.42,65,SENTENCE SERVED,FAM3810F6,FAMILY OFFENSE CRUELTY AND INJURIES TO CHILDREN,,
2025-00120,M,B,50,1/17/2025  7:45:00 AM,,1/31/2025  9:17:00 AM,14.06,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
