Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-01436,M,W,34,6/3/2025  8:55:00 PM,,6/5/2025  2:19:00 PM,1.73,177,JUDGE,CON3283S9,"DISOBEDIENCE/RESISTANCE OF AN OFFICER OF THE COURT, ETC.",,
2025-01437,M,W,26,6/3/2025  9:02:00 PM,,6/25/2025  3:46:00 PM,21.78,65,SENTENCE SERVED,TRS5709M1,TRESPASS AFTER BEING FORBIDDEN TO DO SO,,
2025-01438,F,W,44,6/4/2025  7:50:00 AM,,7/1/2025  4:19:00 PM,27.35,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01439,M,W,54,6/4/2025  8:40:00 AM,,6/17/2025  9:53:00 AM,13.05,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01440,M,W,35,6/3/2025  6:35:00 PM,,6/8/2025  6:49:00 AM,4.51,47,JUDGE,FTA5019F6,FAILURE TO APPEAR FAIL TO APPEAR IN COURT FOR FELONY OFFENSE,,
2025-01441,M,W,52,6/4/2025  9:00:00 AM,,9/5/2025  8:00:00 AM,92.96,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01442,M,B,48,6/4/2025  9:00:00 AM,,11/29/2025  8:00:00 AM,177.96,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01443,M,W,28,6/4/2025  9:00:00 AM,,7/10/2025  7:37:00 AM,35.94,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01444,M,B,67,6/4/2025  9:00:00 AM,,,210.62,47,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01445,M,W,30,6/4/2025  9:00:00 AM,,10/2/2025  6:27:00 AM,119.89,47,JUDGE,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01446,M,W,35,6/4/2025  9:00:00 AM,,10/29/2025  12:45:00 PM,147.16,47,JUDGE,OBS3731F6,OBS-POSSESS CHILD PORN (FIRST OFFENSE),,
2025-01447,M,W,59,6/4/2025  10:16:00 AM,,7/11/2025  5:21:00 PM,37.3,47,JUDGE,DWI5450F6,TRAFFIC-DRIVING WHILE INTOXICATED-3RD WITHIN 5 YEARS,,
2025-01448,M,W,47,6/4/2025  12:30:00 PM,,7/18/2025  10:02:00 AM,43.9,79,JUDGE,WPN5297F6,"WEAPONS CONVICTED FELON (NON-VIOLENT) POSSESS/TRANSPORT FIREARM, TASER, ETC.",,
2025-01449,F,W,32,6/4/2025  12:34:00 PM,,8/12/2025  3:12:00 PM,69.11,47,SENTENCE SERVED,FAM3796M1,FAM - FALSE REPORT BY PERSON 14 OR OLDER,,
2025-01450,M,W,27,6/4/2025  1:39:00 PM,,6/5/2025  1:06:00 PM,1.0,3,JUDGE,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-01451,M,B,27,6/4/2025  2:00:00 PM,,6/5/2025  2:00:00 PM,1.0,109,SENTENCE SERVED,TRS5717M1,TRESPASS INTENT TO DAMAGE PROPERTY/ INTERFERE W/PROPERTY RIGHTS,,
2025-01452,M,W,46,6/4/2025  2:55:00 PM,,6/5/2025  6:54:00 AM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01453,F,W,36,6/4/2025  5:29:00 PM,,6/23/2025  7:53:00 PM,19.1,139,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-01454,M,W,27,6/4/2025  6:15:00 PM,,8/2/2025  8:00:00 AM,58.57,79,SENTENCE SERVED,DWI5414M1,DWI - OPERATE VEHICLE WITHOUT IGNITION INTERLOCK SYSTEM,,
2025-01455,M,B,64,6/4/2025  5:00:00 PM,,7/24/2025  11:00:00 AM,49.75,137,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01456,F,W,39,6/4/2025  8:48:00 PM,,8/7/2025  8:24:00 AM,63.48,113,JUDGE,VAN2956F6,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT >=$1000",,
2025-01457,M,W,46,6/4/2025  9:13:00 PM,,6/5/2025  4:00:00 PM,1.0,137,BOND,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-01458,M,W,18,6/5/2025  3:16:00 AM,,6/30/2025  7:05:00 PM,25.66,109,BOND,RAP1130F9,SEXUAL ASSAULT INTERCOURSE WITH VICTIM UNDER AGE 13,,
2025-01459,M,U,24,6/5/2025  10:00:00 AM,,6/10/2025  10:00:00 AM,5.0,109,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01460,M,W,44,6/5/2025  10:00:00 AM,,6/22/2025  10:00:00 AM,17.0,137,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-01461,F,W,66,6/5/2025  1:02:00 PM,,8/15/2025  9:49:00 PM,71.37,109,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01462,F,W,25,6/5/2025  3:54:00 PM,,6/12/2025  4:38:00 PM,7.03,79,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01463,M,B,51,6/5/2025  4:10:00 PM,,8/22/2025  6:24:00 AM,77.59,137,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01464,F,W,35,6/5/2025  4:26:00 PM,,6/23/2025  3:18:00 PM,17.95,109,BOND,SEX3643F5,SEX-CHILD UNDER AGE 15,,
2025-01465,F,W,38,6/5/2025  4:45:00 PM,,7/10/2025  9:08:00 AM,34.68,65,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01466,M,W,34,6/5/2025  5:34:00 PM,,7/21/2025  7:08:00 PM,46.07,139,SENTENCE SERVED,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01467,M,W,25,6/5/2025  5:35:00 PM,,9/4/2025  10:41:00 AM,90.71,139,JUDGE,SOR3659F6,"SOR-OTHER SEX OFFENDER,FAIL TO REGISTER ETC. 2ND/ SUBSEQUENT",,
2025-01468,M,W,38,6/5/2025  11:18:00 PM,,6/6/2025  5:21:00 PM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01469,M,W,44,6/6/2025  4:31:00 AM,,6/9/2025  10:20:00 PM,3.74,65,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-01470,F,W,22,6/6/2025  4:21:00 AM,,6/6/2025  1:19:00 PM,1.0,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01471,M,W,28,6/6/2025  10:23:00 AM,,11/19/2025  8:00:00 AM,165.9,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01472,F,W,63,6/6/2025  10:23:00 AM,,12/4/2025  3:03:00 PM,181.19,47,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01473,F,W,43,6/6/2025  1:26:00 PM,,6/9/2025  7:27:00 AM,2.75,109,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01474,F,W,24,6/6/2025  2:55:00 PM,,9/3/2025  10:25:00 AM,88.81,47,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01475,F,W,56,6/6/2025  2:55:00 PM,,6/13/2025  12:41:00 PM,6.91,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01476,F,W,36,6/6/2025  5:00:00 PM,,6/6/2025  5:01:00 PM,1.0,79,SENTENCE SERVED,JUS4829M1,"RESISTING ARREST, OBSTRUCTING JUSTICE W/O THREATS OF FORCE",,
2025-01477,M,B,58,6/6/2025  6:36:00 PM,,6/7/2025  2:54:00 PM,1.0,79,BOND,NAR3014M1,NARCOTICS INHALE DRUGS - GLUE - ETC.,,
2025-01478,M,W,42,6/6/2025  7:04:00 PM,,6/7/2025  2:54:00 PM,1.0,113,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01479,F,W,44,6/6/2025  6:00:00 PM,,6/6/2025  6:01:00 PM,1.0,79,SENTENCE SERVED,JUS4810M1,JUS - FALSELY IDENTIFY SELF TO LAW ENFORCEMENT,,
2025-01480,F,B,45,6/6/2025  6:00:00 PM,,6/21/2025  6:00:00 PM,15.0,109,SENTENCE SERVED,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01481,F,W,43,7/4/2025  6:00:00 PM,,7/6/2025  6:00:00 PM,2.0,137,JUDGE,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-01482,M,W,39,6/6/2025  6:00:00 PM,,6/8/2025  6:00:00 PM,2.0,109,JUDGE,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-01483,M,W,19,6/6/2025  7:00:00 PM,,6/8/2025  7:00:00 PM,2.0,65,SENTENCE SERVED,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-01484,F,W,35,6/7/2025  12:48:00 AM,,6/7/2025  11:07:00 AM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01485,M,W,41,6/7/2025  2:42:00 AM,,6/7/2025  4:14:00 PM,1.0,137,BOND,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-01486,M,W,38,6/7/2025  4:25:00 AM,,6/7/2025  4:14:00 PM,1.0,137,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01487,F,W,31,6/7/2025  1:39:00 PM,,6/7/2025  4:14:00 PM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01488,F,W,33,6/6/2025  9:39:00 PM,,6/7/2025  3:50:00 AM,1.0,137,HOSPITAL/TREATMENT,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01489,F,W,33,6/7/2025  3:51:00 AM,,9/18/2025  7:43:00 AM,103.16,137,SENTENCE SERVED,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01490,M,W,49,6/8/2025  2:52:00 AM,,6/18/2025  2:34:00 PM,10.49,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01491,M,B,42,6/8/2025  7:45:00 AM,,6/8/2025  7:16:00 PM,1.0,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01492,F,W,34,6/8/2025  2:57:00 PM,,6/8/2025  7:50:00 PM,1.0,113,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-01493,M,B,48,6/9/2025  12:13:00 AM,,6/9/2025  1:37:00 AM,1.0,137,BOND,COM2997M1,"COM - COERCE, INTIMIDATE OR HARASS PERSON BY COMPUTER",,
2025-01494,M,W,70,6/9/2025  12:24:00 AM,,6/9/2025  10:01:00 AM,1.0,79,BOND,DWI5462M1,"DWI - FIRST CONVICTION, INFLUENCE OF DRUGS",,
2025-01495,M,W,43,6/9/2025  8:37:00 AM,,6/10/2025  7:31:00 AM,1.0,109,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01496,F,W,54,6/9/2025  1:02:00 PM,,6/10/2025  2:24:00 PM,1.06,630,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01498,F,B,47,6/9/2025  1:59:00 PM,,,205.42,47,,DWI5493F6,"PRIOR DWI MANSLAUGHTER, ASSAULT, FELONY DWI",,
2025-01499,F,W,26,6/9/2025  1:59:00 PM,,8/21/2025  4:05:00 PM,73.09,47,SENTENCE SERVED,FRD2520F5,FRAUD FORGERY,,
2025-01500,M,W,30,6/9/2025  2:26:00 PM,,7/9/2025  8:02:00 PM,30.23,113,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01501,F,W,32,6/9/2025  1:59:00 PM,,6/10/2025  1:29:00 PM,1.0,47,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01502,F,B,34,6/9/2025  1:59:00 PM,,7/22/2025  9:48:00 AM,42.83,47,JUDGE,LAR2302F9,LARCENY $1000 OR MORE WITH INTENT TO SELL OR DISTRIBUTE,,
2025-01503,M,W,72,6/9/2025  2:32:00 PM,,7/3/2025  9:51:00 AM,23.8,109,HOSPITAL/TREATMENT,RAP1121F9,SEXUAL ASSAULT VICTIM UNDER AGE 13,,
2025-01504,F,W,36,6/9/2025  5:22:00 PM,,6/12/2025  8:40:00 PM,3.14,87,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01505,M,B,31,6/9/2025  6:00:00 PM,,6/10/2025  6:00:00 PM,1.0,109,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-01506,M,W,45,6/10/2025  12:29:00 AM,,6/10/2025  1:12:00 PM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01507,F,B,24,6/10/2025  7:50:00 AM,,7/18/2025  1:13:00 PM,38.22,137,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01508,M,B,25,6/10/2025  12:48:00 PM,,6/25/2025  12:20:00 PM,14.98,137,JUDGE,ROB1239F6,ROBBERY BY THREAT NO DEADLY WEAPON,,
2025-01509,M,W,37,6/10/2025  2:01:00 PM,,6/25/2025  10:50:00 AM,14.87,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01510,M,W,29,6/10/2025  2:01:00 PM,,7/16/2025  12:39:00 PM,35.94,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01511,M,B,20,6/10/2025  2:14:00 PM,,7/24/2025  6:11:00 PM,44.16,65,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01512,M,B,45,6/10/2025  2:36:00 PM,,7/17/2025  9:57:00 AM,36.81,113,JUDGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01513,M,W,31,6/10/2025  4:47:00 PM,,6/11/2025  8:09:00 AM,1.0,3,JUDGE,LAR2359F9,LARCENY $1000 OR MORE NOT FROM PERSON,,
2025-01514,F,W,22,6/10/2025  5:01:00 PM,,6/12/2025  4:20:00 PM,1.97,79,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01515,M,W,41,6/11/2025  8:16:00 AM,,6/12/2025  4:42:00 PM,1.35,137,PURGE,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
2025-01516,M,W,48,6/6/2025  7:00:00 PM,,6/14/2025  7:00:00 AM,7.5,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01517,M,B,26,6/11/2025  10:32:00 AM,,6/11/2025  3:48:00 PM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01518,M,B,52,6/11/2025  11:20:00 AM,,6/11/2025  12:31:00 PM,1.0,109,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01519,F,W,63,6/11/2025  12:31:00 PM,,6/18/2025  2:20:00 PM,7.08,113,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01520,M,B,30,6/11/2025  12:20:00 PM,,6/12/2025  7:52:00 AM,1.0,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-01521,M,W,37,6/11/2025  1:04:00 PM,,6/23/2025  1:51:00 PM,12.03,65,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-01522,F,W,36,6/11/2025  2:41:00 PM,,6/18/2025  4:30:00 PM,7.08,47,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01523,F,W,28,6/11/2025  2:41:00 PM,,10/5/2025  8:00:00 AM,115.72,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01524,F,W,53,6/11/2025  2:41:00 PM,,6/13/2025  2:04:00 PM,1.97,47,PURGE,CON3283S9,"DISOBEDIENCE/RESISTANCE OF AN OFFICER OF THE COURT, ETC.",,
2025-01525,M,W,24,6/11/2025  4:18:00 PM,,7/28/2025  4:30:00 PM,47.01,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01526,M,W,31,6/11/2025  4:18:00 PM,,6/23/2025  5:29:00 PM,12.05,139,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01527,M,W,33,6/11/2025  4:18:00 PM,,6/17/2025  7:30:00 AM,5.63,139,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01528,F,B,40,6/11/2025  8:35:00 PM,,6/18/2025  3:02:00 PM,6.77,137,BOND,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-01529,F,W,35,6/12/2025  1:19:00 AM,,6/18/2025  12:47:00 PM,6.48,109,BOND,FAM3808F6,FAMILY OFFENSE GROSS - WANTON - OR RECKLESS CARE FOR CHILD,,
2025-01530,M,B,52,6/11/2025  12:32:00 PM,,6/15/2025  6:19:00 AM,3.74,109,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01531,M,W,20,6/12/2025  6:03:00 AM,,,202.75,109,,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-01532,M,W,18,6/12/2025  12:00:00 PM,,6/13/2025  12:01:00 AM,1.0,137,SENTENCE SERVED,REC6648M1,TRAFFIC - RECKLESS DRIVING SPEED OVER 80 MPH,,
2025-01533,M,W,35,6/12/2025  1:56:00 PM,,6/27/2025  9:38:00 AM,14.82,139,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01534,F,W,29,6/12/2025  1:01:00 PM,,7/14/2025  7:30:00 AM,31.77,65,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-01535,M,W,33,6/12/2025  1:01:00 PM,,8/13/2025  11:20:00 AM,61.93,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01536,M,W,34,6/12/2025  1:01:00 PM,,6/16/2025  7:34:00 AM,3.77,79,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01537,M,W,37,6/12/2025  1:01:00 PM,,7/29/2025  3:08:00 PM,47.09,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-01538,M,B,20,6/12/2025  2:49:00 PM,,8/4/2025  10:57:00 AM,52.84,109,JUDGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-01539,M,W,38,6/12/2025  6:15:00 PM,,,202.24,139,,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01540,M,B,29,6/12/2025  6:00:00 PM,,6/15/2025  6:00:00 PM,3.0,79,JUDGE,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2025-01541,M,W,29,6/13/2025  12:21:00 AM,,6/13/2025  1:52:00 PM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-01542,F,W,77,6/13/2025  12:26:00 AM,,6/13/2025  2:42:00 AM,1.0,137,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01543,F,B,40,6/13/2025  10:40:00 AM,,9/3/2025  6:55:00 AM,81.84,113,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01544,M,B,20,6/13/2025  12:41:00 PM,,6/29/2025  2:00:00 AM,15.55,137,HOSPITAL/TREATMENT,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-01545,F,W,45,6/13/2025  12:41:00 PM,,6/16/2025  7:34:00 AM,2.79,79,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01546,M,W,55,6/13/2025  3:01:00 PM,,8/28/2025  8:20:00 AM,75.72,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01547,M,B,41,6/13/2025  3:00:00 PM,,6/13/2025  3:01:00 PM,1.0,137,SENTENCE SERVED,DIS5311M1,DISORDERLY  CONDUCT DISORDERLY CONDUCT,,
2025-01548,M,W,36,6/27/2025  6:00:00 PM,,6/28/2025  6:00:00 PM,1.0,137,SENTENCE SERVED,ASL1359M1,FIRST OFFENDER VIOLATION; ASSAULT AGAINST FAMILY,,
2025-01549,F,W,57,6/27/2025  6:00:00 PM,,6/28/2025  6:00:00 PM,1.0,109,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-01550,M,W,34,6/13/2025  7:15:00 PM,,10/22/2025  9:59:00 AM,130.61,113,JUDGE,LAR2404F9,LARCENY AUTO THEFT - GRAND LARCENY,,
2025-01551,M,B,40,6/27/2025  7:00:00 PM,,6/28/2025  7:06:00 PM,1.0,109,SENTENCE SERVED,DWI5447S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN 5 TO 10 YRS.,,
2025-01552,M,W,24,6/20/2025  7:00:00 PM,,6/22/2025  7:00:00 PM,2.0,137,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01553,F,W,37,6/13/2025  9:16:00 PM,,6/20/2025  3:19:00 PM,6.75,113,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01554,F,W,26,6/14/2025  8:28:00 AM,,7/2/2025  1:45:00 PM,18.22,113,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-01555,M,W,32,6/14/2025  8:45:00 AM,,9/16/2025  10:10:00 AM,94.06,113,JUDGE,FRD2519F4,FRAUD PUBLIC RECORD - FORGING,,
2025-01556,M,W,34,6/14/2025  11:28:00 AM,,6/24/2025  1:15:00 PM,10.07,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01557,M,W,48,6/14/2025  7:00:00 PM,,6/16/2025  11:00:00 AM,1.67,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-01558,M,W,26,6/14/2025  9:49:00 PM,,6/18/2025  3:24:00 PM,3.73,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01559,M,W,49,6/15/2025  8:45:00 AM,,6/16/2025  2:38:00 PM,1.25,79,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-01560,F,W,51,6/15/2025  7:38:00 PM,,6/15/2025  9:50:00 PM,1.0,113,BOND,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-01561,M,W,19,6/15/2025  8:42:00 PM,,6/15/2025  10:30:00 PM,1.0,113,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01562,M,W,37,6/15/2025  10:34:00 PM,,7/17/2025  8:00:00 AM,31.39,109,SENTENCE SERVED,COM2997M1,"COM - COERCE, INTIMIDATE OR HARASS PERSON BY COMPUTER",,
2025-01563,M,W,18,6/16/2025  4:21:00 AM,,6/27/2025  9:20:00 PM,11.71,65,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-01564,M,B,52,6/15/2025  6:20:00 AM,,7/15/2025  2:20:00 PM,30.33,109,HOSPITAL/TREATMENT,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-01565,F,B,23,6/13/2025  9:46:00 PM,,6/18/2025  8:00:00 AM,4.43,65,SENTENCE SERVED,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-01566,M,W,22,6/16/2025  1:21:00 PM,,6/26/2025  3:42:00 PM,10.1,137,SENTENCE SERVED,FRD2360F9,FRAUD THEFT OF CREDIT CARD,,
2025-01567,F,W,39,6/16/2025  6:12:00 PM,,6/20/2025  12:24:00 PM,3.76,137,BOND,ARR9986S9,ARRESTS (FOR USE BY STATE POLICE) FELONY ARREST WITHOUT WARRANT,,
2025-01568,M,W,48,6/16/2025  9:00:00 PM,,7/4/2025  5:20:00 PM,17.85,139,HOSPITAL/TREATMENT,NAR3022F5,NARCOTICS POSSESSION,,
2025-01569,M,W,54,6/17/2025  12:25:00 AM,,6/17/2025  12:50:00 AM,1.0,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-01570,M,W,47,6/17/2025  8:15:00 AM,,7/14/2025  7:25:00 PM,27.47,79,BOND,BUR2216F9,"BUR-OTHER STRUCTURE W/INTENT TOCOMMIT LARCENY, A&B, ETC.",,
2025-01571,M,B,27,6/17/2025  8:15:00 AM,,6/29/2025  4:25:00 PM,12.34,79,BOND,BUR2216F9,"BUR-OTHER STRUCTURE W/INTENT TOCOMMIT LARCENY, A&B, ETC.",,
2025-01572,M,W,32,6/17/2025  11:13:00 AM,,6/17/2025  3:02:00 PM,1.0,109,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-01573,F,W,31,6/17/2025  11:13:00 AM,,7/3/2025  6:38:00 PM,16.31,109,HOSPITAL/TREATMENT,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
